series_id,series_name,all_names,trust,cik,ticker,all_tickers,first_year,last_year,leverage_parsed,leverage_note,reset,underlying,underlying_note,category,active_2026,has_ticker
S000091574,ProShares Short XRP ETF,ProShares Short XRP ETF,PROSHARES TRUST,0001174610,,,2025,2025,-1.0,inverse no number,daily,XRP,ticker token,index_other,False,False
S000091573,ProShares Ultra XRP ETF,ProShares Ultra XRP ETF,PROSHARES TRUST,0001174610,UXRP,UXRP,2025,2026,2.0,proshares ultra,daily,XRP,ticker token,index_other,True,True
S000091625,Teucrium 2x Long Daily XRP ETF,Teucrium 2x Long Daily XRP ETF,Listed Funds Trust,0001683471,XXRP,XXRP,2025,2026,2.0,number,daily,XRP,ticker token,index_other,True,True
S000091724,T-REX 2X Long XRP Daily Target ETF,Tuttle Capital 2X Long XRP Daily Target ETF | T-REX 2X Long XRP Daily Target ETF,ETF Opportunities Trust,0001771146,XRPK,XRPK,2025,2026,2.0,number,daily,XRP,ticker token,index_other,True,True
S000092517,2x XRP ETF,2x XRP ETF,Volatility Shares Trust,0001884021,,,2025,2026,2.0,number,daily,XRP,ticker token,index_other,True,False
S000093027,Leverage Shares 2X Long XRP Daily ETF,Leverage Shares 2X Long XRP Daily ETF,Themes ETF Trust,0001976322,,,2025,2026,2.0,number,daily,XRP,ticker token,index_other,True,False
S000098725,ProShares Daily Target 3x XRP,ProShares Daily Target 3x XRP,PROSHARES TRUST,0001174610,,,2026,2026,3.0,number,daily,XRP,ticker token,index_other,True,False
S000098941,GraniteShares 3x Long XRP Daily ETF,GraniteShares 3x Long XRP Daily ETF,GraniteShares ETF Trust,0001689873,,,2026,2026,3.0,number,daily,XRP,ticker token,index_other,True,False
S000099869,3x XRP ETF,3x XRP ETF,Volatility Shares Trust,0001884021,,,2026,2026,3.0,number,daily,XRP,ticker token,index_other,True,False
S000099892,5x XRP ETF,5x XRP ETF,Volatility Shares Trust,0001884021,,,2026,2026,5.0,number,daily,XRP,ticker token,index_other,True,False
S000102049,Portfolio Building Block 1X Inverse US Large Cap Daily Target ETF,Portfolio Building Block 1X Inverse US Large Cap Daily Target ETF,Tidal Trust II,0001924868,,,2026,2026,-1.0,number,daily,XYZ,company name,index_other,True,False
S000106416,Portfolio Building Block 1X Inverse US Large Cap Daily Target ETF,Portfolio Building Block 1X Inverse US Large Cap Daily Target ETF,Tidal Trust IV,0002043390,,,2026,2026,-1.0,number,daily,XYZ,company name,index_other,True,False
S000103337,GraniteShares 4x Short QQQ Daily ETF,GraniteShares 4x Short QQQ Daily ETF,GraniteShares ETF Trust,0001689873,,,2026,2026,-4.0,number,daily,,unresolved,index_other,True,False
S000103493,GraniteShares 4x Short China Internet Daily ETF,GraniteShares 4x Short China Internet Daily ETF,GraniteShares ETF Trust,0001689873,,,2026,2026,-4.0,number,daily,,unresolved,index_other,True,False
S000103494,GraniteShares 4x Short Cybersecurity Daily ETF,GraniteShares 4x Short Cybersecurity Daily ETF,GraniteShares ETF Trust,0001689873,,,2026,2026,-4.0,number,daily,,unresolved,index_other,True,False
S000103496,GraniteShares 4x Short Gold Miners Daily ETF,GraniteShares 4x Short Gold Miners Daily ETF,GraniteShares ETF Trust,0001689873,,,2026,2026,-4.0,number,daily,,unresolved,index_other,True,False
