series_id,series_name,all_names,trust,cik,ticker,all_tickers,first_year,last_year,leverage_parsed,leverage_note,reset,underlying,underlying_note,category,active_2026,has_ticker,n_obs,beta,r2,resid_sd,beta_first60,beta_last60,beta_roll_min,beta_roll_max,price_ticker,first_date,last_date,med_dollar_vol,lev_check
S000093883,T-REX 2X LONG AFRM DAILY TARGET ETF,T-REX 2X LONG AFRM DAILY TARGET ETF,ETF Opportunities Trust,1771146,AFRU,AFRU,2025,2026,2.0,number,daily,AFRM,ticker token,single_stock,True,True,254.0,1.9772247831171081,0.9880832611220064,0.008050792510246972,1.9764507622840457,1.9747199888288034,1.925816065540153,2.0529491895634377,AFRU,2025-09-16,2026-09-23,172715.40207862854,ok
S000100827,Tradr 2X Short ALAB Daily ETF,Tradr 2X Short ALAB Daily ETF,Investment Managers Series Trust II,1587982,ALAQ,ALAQ,2026,2026,-2.0,number,daily,ALAB,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000091893,Tradr 2X Long ALAB Daily ETF,Tradr 2X Long ALAB Daily ETF,Investment Managers Series Trust II,1587982,LABX,LABX,2025,2026,2.0,number,daily,ALAB,ticker token,single_stock,True,True,279.0,2.003781053710702,0.9976280974222334,0.005951764596239935,2.0203785031990793,2.0151173865200946,1.9656519925026017,2.0318947291935703,LABX,2025-08-12,2026-09-23,14946087.672996521,ok
S000089799,Defiance Daily Target 2X Long AMAT ETF,Defiance Daily Target 2X Long AMAT ETF,Tidal Trust II,1924868,AMA,AMAX | AMA,2025,2026,2.0,number,daily,AMAT,ticker token,single_stock,True,True,1215.0,0.09440629586754828,0.18257575524761938,0.005987959414034815,0.08730630673952194,0.029586231179690194,0.010091119277587457,0.2348239265067124,AMAX,2021-11-15,2026-09-23,210076.2012720108,MISMATCH
S000090802,GraniteShares 2x Long AMC Daily ETF,GraniteShares 2x Long AMC Daily ETF,GraniteShares ETF Trust,1689873,AML,AML,2025,2026,2.0,number,daily,AMC,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000081136,GraniteShares 2x Short AMD Daily ETF,GraniteShares 1.25x Short AMD Daily ETF | GraniteShares 2x Short AMD Daily ETF,GraniteShares ETF Trust,1689873,AMDS,AMSS | AMDS,2023,2026,-2.0,number,daily,AMD,ticker token,single_stock,True,True,85.0,0.09855479776091325,-0.041639778712830644,0.11787785433728465,0.06836105778503544,0.3594117926661738,0.06836105778503544,0.4431239628615216,AMSS,2026-05-20,2026-09-23,64462.99989819527,MISMATCH
S000087467,T-REX 2X INVERSE AMD DAILY TARGET ETF,T-REX 2X INVERSE AMD DAILY TARGET ETF,ETF Opportunities Trust,1771146,AMDD,AMDD,2025,2026,-2.0,number,daily,AMD,ticker token,single_stock,True,True,397.0,-1.0054438169001767,0.9962303782550794,0.0025994207117927114,-1.006683390527265,-1.0234270404621515,-1.0269932991657744,-0.9915314138804134,AMDD,2025-02-12,2026-09-23,16841489.369010925,MISMATCH
S000088058,Direxion Daily AMD Bear 1X ETF,Direxion Daily AMD Bear 1X Shares | Direxion Daily AMD Bear 1X ETF,Direxion Shares ETF Trust,1424958,AMDD,AMDD,2025,2026,-1.0,number,daily,AMD,ticker token,single_stock,True,True,397.0,-1.0054438169001767,0.9962303782550794,0.0025994207117927114,-1.006683390527265,-1.0234270404621515,-1.0269932991657744,-0.9915314138804134,AMDD,2025-02-12,2026-09-23,16841489.369010925,ok
S000076350,GraniteShares 2x Long AMD Daily ETF,GraniteShares 2x Long AMD Daily ETF | GraniteShares 1.25x Long AMD Daily ETF,GraniteShares ETF Trust,1689873,AMDL,AMDL,2022,2026,2.0,number,daily,AMD,ticker token,single_stock,True,True,630.0,2.001651437407386,0.9987717661622818,0.0026292571892385652,2.0131981825216236,2.030087874214998,1.9808297886911062,2.037501477990263,AMDL,2024-03-18,2026-09-23,161131999.7657776,ok
S000086639,Leverage Shares 2X Long AMD Daily ETF,Leverage Shares 2X Long AMD Daily ETF,Themes ETF Trust,1976322,AMDG,AMDG,2025,2026,2.0,number,daily,AMD,ticker token,single_stock,True,True,416.0,2.0048772183683945,0.998026459231334,0.003724588355475876,1.9995993839045323,2.047083336252781,1.9803840661527312,2.051017676038244,AMDG,2025-01-24,2026-09-23,5093941.212081909,ok
S000088048,Direxion Daily AMD Bull 2X ETF,Direxion Daily AMD Bull 2X Shares | Direxion Daily AMD Bull 2X ETF,Direxion Shares ETF Trust,1424958,AMUU,AMUU,2025,2026,2.0,number,daily,AMD,ticker token,single_stock,True,True,368.0,2.003913685951673,0.9987373082021214,0.0030554688631497127,2.011977941956375,2.025100051833662,1.9707856142289804,2.027346940954636,AMUU,2025-04-03,2026-09-23,14710803.590393066,ok
S000101614,Defiance Daily Target 2X Long AMTM ETF,Defiance Daily Target 2X Long AMTM ETF,Tidal Trust II,1924868,AMTL,AMTL,2026,2026,2.0,number,daily,AMTM,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000100828,Tradr 2X Short AMZN Daily ETF,Tradr 2X Short AMZN Daily ETF,Investment Managers Series Trust II,1587982,AMZO,AMZO,2026,2026,-2.0,number,daily,AMZN,ticker token,single_stock,True,True,124.0,-1.9841476597616556,0.9968221251397498,0.0026413419507349046,-1.9850604060005292,-1.9904506089379703,-2.0004695406437474,-1.9651531917061424,AMZO,2026-03-24,2026-09-23,339136.00368499756,ok
S000076246,Direxion Daily AMZN Bear 1X ETF,Direxion Daily AMZN Bear 1X Shares | Direxion Daily AMZN Bear 1X ETF,Direxion Shares ETF Trust,1424958,AMZD,AMZD,2022,2026,-1.0,number,daily,AMZN,ticker token,single_stock,True,True,1012.0,-0.9965517197770029,0.9973434466958834,0.0010745161773056304,-0.9926382695798509,-1.0090038216362847,-1.023295366123636,-0.9774422557396053,AMZD,2022-09-08,2026-09-23,97942129.11763191,ok
S000076237,Direxion Daily AMZN Bull 2X ETF,Direxion Daily AMZN Bull 2X Shares | Direxion Daily AMZN Bull 1.5X Shares | Direxion Daily AMZN Bull 2X ETF,Direxion Shares ETF Trust,1424958,AMZU,AMZU,2022,2026,2.0,number,daily,AMZN,ticker token,single_stock,True,True,1013.0,1.7719387677635874,0.9788303054297731,0.00559549310762991,1.47202924617638,1.9856946685465846,1.4701334544375877,2.0114959341879226,AMZU,2022-09-07,2026-09-23,73676428.27129364,ok+beta_varies
S000076354,GraniteShares 2x Long AMZN Daily ETF,GraniteShares 2x Long Amazon Daily ETF | GraniteShares 1.5x Long AMZN Daily ETF | GraniteShares 2x Long AMZN Daily ETF,GraniteShares ETF Trust,1689873,AMZZ,AMZZ,2022,2026,2.0,number,daily,AMZN,ticker token,single_stock,True,True,630.0,1.9896748170396854,0.9966585737909587,0.0023639329510061324,1.9300644367354847,1.9885853078881954,1.9300644367354847,2.04513490475025,AMZZ,2024-03-18,2026-09-23,3345641.8224334717,ok
S000098202,T-REX 2X LONG APH DAILY TARGET ETF,T-REX 2X LONG APH DAILY TARGET ETF,ETF Opportunities Trust,1771146,APHU,APHU,2026,2026,2.0,number,daily,APH,ticker token,single_stock,True,True,149.0,1.9916085213695638,0.9898472237658535,0.005793201324824271,2.0085901957906946,2.0227966583760444,1.948451909507296,2.0374346462890505,APHU,2026-02-18,2026-09-23,130363.50355148315,ok
