var,coef,se,t,n,n_dates,r2_within,spec
r_cc,-75.33646878885018,50.32031667670531,-1.4971382090630911,1545674,1058,0.0022941697648652948,"F: raw overnight (no beta adj), date FE"
abs_r,229.87412606313475,70.05524360330666,3.2813264823517723,1545674,1058,0.0022941697648652948,"F: raw overnight (no beta adj), date FE"
r_cc_lag1,-75.7151667496999,40.3411701161961,-1.8768708624865076,1545674,1058,0.0022941697648652948,"F: raw overnight (no beta adj), date FE"
r_x_ladv,35.3575428405562,54.78279574922352,0.6454132608056491,1545674,1058,0.0022941697648652948,"F: raw overnight (no beta adj), date FE"
r_x_vol,31.49326132776611,13.054692888997698,2.412409207596769,1545674,1058,0.0022941697648652948,"F: raw overnight (no beta adj), date FE"
FR_w,-66.39485703666276,38.8072514323124,-1.71088790332056,1545674,1058,0.0022941697648652948,"F: raw overnight (no beta adj), date FE"
r_cc,17.928257417852926,56.14850321347345,0.319300718483816,1545674,1058,0.0004537798029878859,"G: close-to-close next day, date FE"
abs_r,234.8244888548394,81.34929044622302,2.886620000823155,1545674,1058,0.0004537798029878859,"G: close-to-close next day, date FE"
r_cc_lag1,19.181933344729156,89.25393386953631,0.2149141501456692,1545674,1058,0.0004537798029878859,"G: close-to-close next day, date FE"
r_x_ladv,-5.739736042609677,61.95991073263892,-0.09263628650752928,1545674,1058,0.0004537798029878859,"G: close-to-close next day, date FE"
r_x_vol,-8.59713807852667,18.756335013483017,-0.4583591662415182,1545674,1058,0.0004537798029878859,"G: close-to-close next day, date FE"
FR_w,-86.21329311845618,54.75815976963642,-1.5744373711817419,1545674,1058,0.0004537798029878859,"G: close-to-close next day, date FE"
